name,id,url,description,rank,list_id
2015,1800,http://img2-2.timeinc.net/people/i/2015/news/150223/sports-illustrated-cover-435.jpg,Hot,1,10
2010,1801,http://media.nj.com/star-ledger/photo/2014/02/2010-si-coverjpg-4233bc57ddd6ecd3.jpg,Hot,2,10
2012,1802,http://amfblog.s3.amazonaws.com/wp-content/uploads/2015/02/Kate-Upton.jpg,Hot,3,10
2013,1803,http://www.boston.com/ae/celebrity/blog/popradar/Kate-Cover.jpg,Kate Upton,4,10
2009,1804,http://img2.timeinc.net/people/i/2014/sandbox/news/140203/si-covers/si-09-435.jpg,Bar Rafaeli,5,10
2008,1805,http://img2.timeinc.net/people/i/2014/sandbox/news/140203/si-covers/si-08-435.jpg,Marisa Miller,6,10
2006,1806,http://img2-2.timeinc.net/people/i/2014/sandbox/news/140203/si-covers/si-06-435.jpg,Beach Party,6,10
